TOKEN_ID,TOKEN_NAME,Species,Location,Muscles,Armour,Helmet,Trim,Helmet Glow,Body Glow,Katanas,Katana Left,Katana Right,Robes,Shoulder Robe Right,Rare Equipment #1,Rare Equipment #2,Rare Equipment #3,Kunais,Kunai Left,Kunai Right,Shoulder Robe Left,Special Ability #1,Crossbow,Jetpack,Zweihanders,Zweihander Left,Glitchcloak,Special Ability #2,Shield,Speed,Stamina,Craftsmanship,Defence,Stealth,Leadership,Communication,Weapon Skill,Attack,Charge,Toughness,Health,Range,Damage,Intelligence,Freewill,Psychic,Magic,Battle Score,Medi Kits,Special Ability #3,Hood,Shadow Blades,Shadow Blade Right,Spears,Spear Left,Swiftcloak,Spear Right,Zweihander Right,Special Ability #4,Special Ability #5,Special Ability #6,Special Ability #7,Shadow Blade Left
17,Adrihan,Citizen,Alley,Black,Grey,Carbon Grey,,,Orange,Single,,Shiny,,,,,,,,,,Herd immunity,,,,,,Healer,,71.0,66.0,82.0,44.0,45.0,22.0,100.0,47.0,48.0,42.0,39.0,78.0,31.0,42.0,85.0,85.0,0.0,0.0,52.0,Dual,,,,,,,,,,,,,,
18,Jonh,Hunter,Cave,Glossy Black,Red,Red,Silver,Red,Red,,,,,,,,,,,,,Conceled,Equipped,,,,,Enabler,,107.0,80.0,60.0,71.0,95.0,86.0,97.0,85.0,79.0,57.0,59.0,58.0,92.0,73.0,85.0,85.0,0.0,0.0,71.0,,,,Single,Equipped,Single,Green,Equipped,,,,,,,
19,Rickell,Citizen,Alley,Urban Camo,Carbon Grey,Grey,Grey,,Orange,Dual,Rusty,Shiny,,,,,,,,,,Artisan,,,,,,Bills kill,,68.0,63.0,91.0,63.0,50.0,33.0,100.0,71.0,63.0,48.0,47.0,67.0,37.0,43.0,85.0,85.0,0.0,0.0,56.0,Dual,,,,,,,,,,,,,,
20,Kili,Construction,Crane Sunset,Grey,Grey,Amber,Grey,,Yellow,,,,,,,,,,,,,Healer,,Equipped,,,,Starkware,,80.0,61.0,95.0,33.0,47.0,-1.0,100.0,42.0,43.0,53.0,39.0,69.0,48.0,40.0,85.0,85.0,0.0,0.0,51.0,Right,,,,,,,,,,,,,,
21,Illuzzi,Jungle,Jungle,Glossy Black,Green,Carbon Black,Glossy Black,Green,Yellow,Single,,Plasma Orange,Full,Mesh Swamp Green,,,,Single,Black Tip Kunai,,Mesh Swamp Green,Circus knives,,,,,,,,75.0,69.0,64.0,73.0,53.0,83.0,100.0,78.0,94.0,52.0,59.0,58.0,60.0,72.0,85.0,85.0,0.0,0.0,64.0,,,Mesh Swamp Green,,,Single,Green,,,,,,,,
22,Niamh,Logistics,Brutalist,Orange,Orange,Rust,Grey,Orange,Yellow,,,,,,,,,,,,,,,,,,,,,59.0,50.0,81.0,33.0,38.0,8.0,100.0,31.0,46.0,37.0,40.0,43.0,35.0,35.0,85.0,85.0,0.0,0.0,45.0,,,,,,,,,,,,,,,
23,Misha,Snow,Arctic,Glossy White,Glossy White,Snow Camo,Snow Camo,Orange,Yellow,Single,,Plasma Yellow,Single,,,,,Dual,Black Tip Kunai,Black Tip Kunai,Mesh Maroon,Circus knives,,,,,,,,73.0,69.0,64.0,78.0,44.0,78.0,100.0,84.0,82.0,55.0,60.0,60.0,77.0,78.0,85.0,85.0,0.0,0.0,65.0,,,Mesh Maroon,,,Single,Blue,,,,,,,,
24,Lugh,Construction,Crane Sunset,Grey,Amber,Grey,Amber,Orange,,,,,,,,,,,,,,Brickie,,Equipped,,,,Healer,,80.0,61.0,105.0,37.0,48.0,0.0,100.0,43.0,44.0,49.0,39.0,74.0,43.0,40.0,85.0,85.0,0.0,0.0,52.0,Dual,,,,,,,,,,,,,,
25,Asucena,Logistics,Brutalist,Rust,Rust,Grey,Rust,Orange,Yellow,,,,,,,,,,,,,Starkware,,Equipped,,,,Jetburst,,79.0,55.0,91.0,18.0,47.0,0.0,100.0,24.0,38.0,65.0,29.0,38.0,48.0,35.0,90.0,85.0,0.0,0.0,47.0,Left,Trust in rust,,,,,,,,,,,,,
26,Alsop,Hunter,Cave,Silver,Glossy Black,Carbon Black,Glossy Black,Red,Red,Single,Plasma Orange,,,,,,,,,,,Unseen,Equipped,,,,Equipped,Fools silver,,97.0,77.0,60.0,81.0,107.0,92.0,97.0,84.0,75.0,55.0,62.0,64.0,78.0,72.0,85.0,85.0,0.0,0.0,71.0,,,,Single,Equipped,,,,,,,,,,
27,Galat,Construction,Crane Sunset,Grey,Rust,Amber,Grey,Yellow,Orange,,,,,,,,,,,,,Artisan,,,,,,Healer,,60.0,56.0,111.0,33.0,40.0,3.0,100.0,46.0,41.0,41.0,34.0,68.0,35.0,40.0,85.0,85.0,0.0,0.0,49.0,Right,,,,,,,,,,,,,,
28,Future,Snow,Arctic,Glossy White,White,White,Snow Camo,Orange,Yellow,,,,Single,Mesh Maroon,,,,Dual,Black Tip Kunai,Black Tip Kunai,,Shadow born,Equipped,,,,,,Equipped,64.0,57.0,67.0,69.0,50.0,62.0,100.0,73.0,65.0,49.0,54.0,63.0,71.0,74.0,85.0,85.0,0.0,0.0,60.0,,,,,,Single,,,Yellow,,,,,,
29,Struzan,Sand,Desert,Glossy Black,Tan,Desert Camo,Desert Camo,Yellow,Green,,,,Single,,,,,Single,Black Tip Kunai,,Nylon Fabric Black Worn,Shadow born,,Equipped,,,,,,81.0,64.0,67.0,65.0,62.0,68.0,100.0,76.0,71.0,61.0,56.0,56.0,64.0,73.0,85.0,85.0,0.0,0.0,63.0,,,,,,Dual,Blue,,Orange,,,,,,
30,Seulow,Citizen,Alley,Black,Grey,Black,Carbon Grey,,Orange,Single,,Shiny,,,,,,,,,,Artisan,,,,,,,,65.0,61.0,89.0,44.0,45.0,25.0,100.0,51.0,46.0,42.0,39.0,54.0,35.0,42.0,85.0,85.0,0.0,0.0,50.0,Right,,,,,,,,,,,,,,
31,Slyfer,Construction,Crane Sunset,Rust,Amber,Grey,Rust,Yellow,Yellow,,,,,,,,,,,,,Artisan,,Equipped,,,,Healer,,75.0,61.0,116.0,36.0,46.0,4.0,100.0,47.0,43.0,50.0,34.0,73.0,43.0,40.0,85.0,85.0,0.0,0.0,52.0,Dual,,,,,,,,,,,,,,
32,Grell,Citizen,Alley,Black,Carbon Grey,Carbon Grey,,Orange,,Dual,Shiny,Shiny,,,,,,,,,,,,,,,,,,74.0,64.0,70.0,49.0,47.0,29.0,100.0,56.0,55.0,45.0,45.0,54.0,35.0,44.0,85.0,85.0,0.0,0.0,52.0,Right,,,,,,,,,,,,,,
33,Conal,Police,Urban,Carbon Grey,Carbon Grey,Black,Dark Blue,Blue,,Single,,Plasma Blue,,,,,,,,,,Plasma burn,,,,,,,,75.0,66.0,71.0,62.0,42.0,54.0,100.0,58.0,58.0,47.0,51.0,65.0,42.0,52.0,85.0,85.0,0.0,0.0,56.0,Dual,,,,,,,,,,,,,,
34,Roosevelt,Logistics,Brutalist,Rust,Rust,Orange,,,,,,,,,,,,,,,,,,,,,,,,63.0,50.0,84.0,25.0,47.0,-13.0,100.0,24.0,40.0,35.0,26.0,37.0,35.0,35.0,85.0,85.0,0.0,0.0,42.0,Left,,,,,,,,,,,,,,
35,Nautilus,Police,Urban,Blue Camo,Dark Blue,Dark Blue,Black,,Blue,Single,,Plasma Blue,,,,,,,,,,Strong arm,,,,,,,Equipped,65.0,68.0,65.0,73.0,49.0,55.0,100.0,63.0,63.0,52.0,72.0,77.0,36.0,47.0,85.0,85.0,0.0,0.0,59.0,Right,,,,,,,,,,,,,,
36,Laddud,Civil,Temple Ruins,Grey,Black,Yellow,,,,Single,,Rusty,,,,,,,,,,Artisan,,,,,,Healer,,67.0,59.0,108.0,32.0,46.0,-8.0,100.0,48.0,45.0,40.0,25.0,63.0,35.0,41.0,85.0,85.0,0.0,0.0,48.0,Right,,,,,,,,,,,,,,
37,Plataea,Citizen,Alley,Grey,Grey,Grey,,,Orange,,,,,,,,,,,,,,,,,,,,,65.0,58.0,81.0,37.0,43.0,16.0,100.0,40.0,41.0,40.0,35.0,51.0,35.0,40.0,85.0,85.0,0.0,0.0,47.0,Dual,,,,,,,,,,,,,,
38,Lakela,Jungle,Jungle,Green,Green,Green,Carbon Black,Yellow,Yellow,,,,Single,Mesh Swamp Green,,,,Single,Black Tip Kunai,,,Circus knives,Equipped,,,,,,,68.0,58.0,64.0,68.0,53.0,65.0,100.0,67.0,69.0,44.0,60.0,58.0,62.0,62.0,85.0,85.0,0.0,0.0,59.0,,,,,,,,,,,,,,,
39,Jolie,Construction,Construction Site,Sunset Stripe,Amber,Grey,Amber,Yellow,Orange,,,,,,,,,,,,,Artisan,,,,,,Sunblock,,60.0,56.0,114.0,49.0,32.0,14.0,100.0,57.0,52.0,42.0,49.0,68.0,35.0,40.0,85.0,85.0,0.0,13.0,53.0,Dual,,,,,,,,,,,,,,
40,Mantooth,Citizen,Alley,Carbon Grey,Black,Black,Black,Orange,,,,,,,,,,,,,,Artisan,,,,,,Healer,,63.0,58.0,91.0,50.0,47.0,29.0,100.0,52.0,47.0,41.0,42.0,77.0,35.0,40.0,85.0,85.0,0.0,0.0,52.0,Dual,,,,,,,,,,,,,,
41,Pepe,Logistics,Warehouse,Orange,Rust,Grey,,,,,,,,,,,,,,,,Artisan,,,,,,Herd immunity,,65.0,55.0,103.0,27.0,45.0,-11.0,100.0,31.0,42.0,35.0,23.0,47.0,31.0,35.0,85.0,85.0,0.0,0.0,44.0,Left,,,,,,,,,,,,,,
42,Charge,Civil,Workshop,White,Grey,Black,Yellow,Yellow,Yellow,Dual,Rusty,Rusty,,,,,,,,,,Artisan,,,,,,Healer,,65.0,61.0,122.0,40.0,42.0,5.0,100.0,52.0,47.0,43.0,30.0,75.0,35.0,42.0,90.0,85.0,0.0,0.0,52.0,Dual,Lore lover,,,,,,,,,,,,,
43,Trivedi,Construction,Construction Site,Amber,Tarnished Pink Purple,Amber,,Yellow,Yellow,,,,,,,,,,,,,,,Equipped,,,,,,79.0,61.0,92.0,48.0,36.0,13.0,100.0,57.0,56.0,50.0,49.0,62.0,43.0,40.0,85.0,85.0,0.0,5.0,53.0,Left,,,,,,,,,,,,,,
44,Gilda,Police,Urban,Dark Blue,Blue Camo,Black,,,Blue,,,,,,,,,,,,,Blind charge,,,,,,Healer,Equipped,72.0,53.0,71.0,62.0,45.0,44.0,100.0,53.0,59.0,64.0,54.0,88.0,34.0,42.0,80.0,85.0,0.0,0.0,56.0,Dual,Mortal faith,,,,,,,,,,,,,
45,Sarahelizabeth,Civil,Temple Ruins,Grey,White,Yellow,Black,,Yellow,,,,,,,,,,,,,,,,,,,,,61.0,57.0,100.0,39.0,46.0,3.0,100.0,40.0,43.0,40.0,35.0,58.0,35.0,40.0,85.0,85.0,0.0,0.0,48.0,Dual,,,,,,,,,,,,,,
46,Twig,Hunter,Cave,Red,Dark Blue,Silver,Silver,Red,Red,Single,,Plasma Red,,,,,,,,,,,Equipped,,,,,,,92.0,73.0,60.0,76.0,69.0,88.0,100.0,87.0,81.0,55.0,64.0,59.0,81.0,72.0,85.0,85.0,0.0,0.0,68.0,,,,,,Single,Green,Equipped,,,,,,,
47,Tashieka,Defender,Laboratory,Silver,Glossy Black,Purple,Glossy White,Blue,Blue,,,,,,,,,,,,,Final defence,,,Single,,,Fools silver,,71.0,81.0,60.0,96.0,36.0,84.0,100.0,91.0,84.0,44.0,76.0,70.0,54.0,71.0,85.0,85.0,0.0,0.0,66.0,,,,,,Single,Blue,Equipped,,Equipped,,,,,
48,Roten,Civil,Workshop,Yellow,Black,Grey,Black,,Yellow,Dual,Rusty,Rusty,,,,,,,,,,Artisan,,,,,,Lore lover,,65.0,61.0,117.0,41.0,48.0,1.0,100.0,52.0,47.0,42.0,30.0,61.0,35.0,42.0,90.0,85.0,0.0,0.0,51.0,Dual,,,,,,,,,,,,,,
49,Armanix,Civil,Workshop,Sunset Stripe,Yellow,Grey,,Yellow,Purple,Dual,Rusty,Rusty,,,,,,,,,,Sunblock,,,,,,,,69.0,61.0,97.0,46.0,33.0,12.0,100.0,52.0,55.0,43.0,44.0,61.0,35.0,42.0,85.0,85.0,0.0,13.0,52.0,Dual,,,,,,,,,,,,,,
50,Diggory,Construction,Construction Site,Amber,Grey,Amber,,Orange,Yellow,,,,,,,,,,,,,Herd immunity,,,,,,,,66.0,61.0,104.0,39.0,39.0,4.0,100.0,47.0,46.0,42.0,39.0,66.0,31.0,40.0,85.0,85.0,0.0,0.0,50.0,Dual,,,,,,,,,,,,,,
51,Agassi,Construction,Construction Site,Rust,Rust,Rust,,Orange,,,,,,,,,,,,,,Herd immunity,,,,,,Brickie,,71.0,61.0,106.0,24.0,45.0,-12.0,100.0,34.0,36.0,40.0,27.0,71.0,31.0,40.0,85.0,85.0,0.0,0.0,47.0,Dual,Healer,,,,,,,,,,,,,
52,Karisma,Construction,Construction Site,Amber,Grey,Rust,Grey,Orange,,,,,,,,,,,,,,,,,,,,,,60.0,56.0,94.0,35.0,43.0,0.0,100.0,43.0,42.0,41.0,40.0,54.0,35.0,40.0,85.0,85.0,0.0,0.0,47.0,Right,,,,,,,,,,,,,,
53,Maxmillian,Snow,Arctic,White,Snow Camo,Snow Camo,Glossy White,Green,Orange,Single,,Plasma Yellow,Single,Mesh Maroon,,,,Single,Black Tip Kunai,,,,,,,,,,,75.0,66.0,66.0,69.0,49.0,66.0,100.0,70.0,64.0,54.0,60.0,60.0,49.0,66.0,85.0,85.0,0.0,0.0,60.0,,,,,,,,,,,,,,,
54,Nobeos,Snow,Arctic,Snow Camo,White,Snow Camo,Snow Camo,Yellow,Yellow,Single,Plasma Blue,,Single,Mesh Maroon,,,,,,,,Dead eye,Equipped,,,,,,Equipped,73.0,64.0,66.0,75.0,49.0,70.0,100.0,88.0,79.0,59.0,61.0,70.0,64.0,67.0,85.0,85.0,0.0,0.0,64.0,,,,,,Single,,,Yellow,,,,,,
55,Olmec,Logistics,Brutalist,Rust,Orange,Orange,Grey,Yellow,Yellow,,,,,,,,,,,,,Blind charge,,Equipped,,,,Healer,,79.0,50.0,87.0,34.0,44.0,7.0,100.0,29.0,46.0,55.0,43.0,62.0,43.0,35.0,85.0,85.0,0.0,0.0,49.0,Left,,,,,,,,,,,,,,
56,Muffin,Logistics,Warehouse,Grey,Rust,Grey,Rust,Yellow,Yellow,,,,,,,,,,,,,Starkware,,Equipped,,,,,,79.0,55.0,92.0,26.0,46.0,-1.0,100.0,22.0,39.0,50.0,30.0,39.0,48.0,35.0,85.0,85.0,0.0,0.0,46.0,Left,,,,,,,,,,,,,,
57,Allona,Sand,Desert,Glossy Black,Desert Camo,Desert Camo,Desert Camo,Yellow,Blue,Dual,Plasma Orange,Plasma Orange,Full,Nylon Fabric Black Worn,,,,,,,Nylon Fabric Black Worn,Dead eye,Equipped,,,,,,,82.0,77.0,62.0,74.0,69.0,84.0,100.0,89.0,80.0,58.0,63.0,63.0,56.0,66.0,85.0,85.0,0.0,0.0,66.0,,,Nylon Fabric Black Worn,,,,,,,,,,,,
58,Cable,Construction,Crane Sunset,Amber,Rust,Grey,Amber,Yellow,Yellow,,,,,,,,,,,,,Brickie,,Equipped,,,,Healer,,80.0,61.0,106.0,36.0,46.0,4.0,100.0,42.0,43.0,50.0,39.0,73.0,43.0,40.0,85.0,85.0,0.0,0.0,52.0,Dual,,,,,,,,,,,,,,
59,Pepin,Hunter,Cave,Silver,Urban Camo,Glossy Black,Silver,Red,Red,,,,Full,Oil Splat Hybrid Metallic,,,,,,,Oil Splat Hybrid Metallic,Conceled,Equipped,,,,,Fools silver,,83.0,62.0,60.0,72.0,102.0,95.0,100.0,72.0,66.0,47.0,63.0,68.0,65.0,61.0,85.0,85.0,0.0,0.0,66.0,,,,,,,,,,,,,,,
60,Lahrichi,Construction,Construction Site,Rust,Amber,Amber,,Yellow,,,,,,,,,,,,,,Artisan,,Equipped,,,,Healer,,84.0,61.0,112.0,37.0,48.0,-2.0,100.0,51.0,46.0,54.0,32.0,72.0,48.0,40.0,85.0,85.0,0.0,0.0,53.0,Dual,Starkware,,,,,,,,,,,,,
61,Tria,Police,Urban,Carbon Grey,Carbon Grey,Dark Blue,Black,,Blue,Single,,Plasma Blue,,,,,,,,,,,,,,,,,Equipped,74.0,65.0,70.0,74.0,46.0,56.0,100.0,61.0,61.0,49.0,54.0,77.0,36.0,47.0,85.0,85.0,0.0,0.0,58.0,Dual,,,,,,,,,,,,,,
62,Memoriam,Snow,Arctic,Glossy White,Glossy White,Space Sparkle,White,Blue,Green,,,,Full,Mesh Maroon,,,,Single,,Black Tip Kunai,Mesh Maroon,Second wind,,Equipped,,,,Circus knives,Equipped,87.0,78.0,62.0,73.0,43.0,75.0,100.0,69.0,69.0,57.0,67.0,74.0,74.0,61.0,85.0,85.0,0.0,7.0,65.0,,Starkware,,,,,,,,,,,,,
63,Virgil,Snow,Arctic,White,White,Snow Camo,White,Yellow,Orange,,,,Full,Mesh Maroon,,,,Single,Black Tip Kunai,,Mesh Maroon,Shadow born,,,,,,,,66.0,59.0,68.0,61.0,51.0,75.0,100.0,74.0,68.0,53.0,53.0,53.0,71.0,73.0,85.0,85.0,0.0,0.0,61.0,,,Mesh Maroon,,,Dual,Blue,,Pink,,,,,,
64,Xiong,Police,Urban,Blue Camo,Black,Black,Blue Camo,Blue,,,,,,,,,,,,,,,,,,,,,Equipped,63.0,58.0,68.0,58.0,44.0,45.0,100.0,50.0,51.0,46.0,51.0,70.0,34.0,42.0,85.0,85.0,0.0,0.0,53.0,Left,,,,,,,,,,,,,,
65,Willem,Citizen,Alley,Black,Urban Camo,Black,Black,Orange,,Dual,Rusty,Rusty,,,,,,,,,,,,,,,,,,65.0,62.0,66.0,47.0,53.0,27.0,100.0,54.0,53.0,46.0,51.0,55.0,35.0,42.0,85.0,85.0,0.0,0.0,51.0,,,,,,,,,,,,,,,
66,Roderick,Sand,Desert,Desert Camo,Tan,Amber,Desert Camo,Blue,Blue,Single,,Plasma Blue,Single,Nylon Fabric Black Worn,,,,Single,Black Tip Kunai,,,Plasma burn,Equipped,,,,,Circus knives,,74.0,66.0,64.0,65.0,59.0,72.0,100.0,72.0,69.0,51.0,57.0,57.0,69.0,72.0,85.0,85.0,0.0,0.0,62.0,,,Nylon Fabric Black Worn,,,,,,,,,,,,
67,Cara,Construction,Crane Sunset,Grey,Grey,Rust,Amber,Yellow,Yellow,,,,,,,,,,,,,Starkware,,Equipped,,,,,,80.0,61.0,102.0,29.0,46.0,-1.0,100.0,36.0,39.0,54.0,34.0,54.0,48.0,40.0,85.0,85.0,0.0,0.0,50.0,Dual,,,,,,,,,,,,,,
68,Ikrent,Snow,Arctic,Snow Camo,Glossy White,Snow Camo,Snow Camo,Orange,Blue,,,,,,,,,Single,Black Tip Kunai,,,Circus knives,Equipped,,,,,Shadow born,,67.0,60.0,62.0,68.0,57.0,68.0,100.0,71.0,69.0,49.0,63.0,63.0,69.0,62.0,85.0,85.0,0.0,0.0,61.0,,,Mesh Maroon,,,,,,,,,,,,
69,Tenley,Citizen,Alley,Grey,Carbon Grey,Carbon Grey,Carbon Grey,Orange,,,,,,,,,,,,,,,,,,,,,,65.0,58.0,76.0,53.0,43.0,32.0,100.0,48.0,48.0,41.0,49.0,64.0,35.0,40.0,85.0,85.0,0.0,0.0,51.0,Dual,,,,,,,,,,,,,,
70,Aubree,Construction,Construction Site,Electric,Amber,Amber,Rust,Orange,Yellow,,,,,,,,,,,,,Herd immunity,,,,,,Brickie,,74.0,61.0,107.0,53.0,32.0,23.0,100.0,61.0,55.0,49.0,52.0,79.0,32.0,40.0,75.0,85.0,0.0,17.0,55.0,Dual,Lightning struck,,,,,,,,,,,,,
71,Guinn,Defender,Laboratory,Glossy Black,Goblin Green,Glossy White,Glossy Black,Pink,Pink,,,,,,,,,,,,,,,,,,Equipped,,,66.0,70.0,60.0,78.0,44.0,79.0,100.0,77.0,74.0,40.0,70.0,68.0,48.0,68.0,85.0,85.0,0.0,8.0,62.0,,,,,,,,,,,,,,,
72,Stephonie,Sand,Desert,Glossy Black,Tan,Desert Camo,Tan,Green,Blue,Dual,Plasma Yellow,Plasma Yellow,Single,,,,,Single,Black Tip Kunai,,Nylon Fabric Black Worn,Plasma burn,Equipped,,,,,,,81.0,75.0,66.0,68.0,62.0,72.0,100.0,76.0,69.0,55.0,55.0,55.0,61.0,77.0,85.0,85.0,0.0,0.0,63.0,,,Nylon Fabric Black Worn,,,,,,,,,,,,
73,Arianwen,Construction,Crane Sunset,Grey,Fire,Grey,Grey,Yellow,Orange,,,,,,,,,,,,,Brickie,,Equipped,,,,Starkware,,85.0,61.0,100.0,38.0,36.0,11.0,100.0,47.0,49.0,54.0,46.0,60.0,51.0,40.0,85.0,85.0,0.0,7.0,53.0,Left,,,,,,,,,,,,,,
74,Vinod,Logistics,Brutalist,Grey,Orange,Orange,,,,,,,,,,,,,,,,,,,,,,,,63.0,50.0,83.0,31.0,44.0,-7.0,100.0,30.0,46.0,35.0,32.0,43.0,35.0,35.0,85.0,85.0,0.0,0.0,44.0,Left,,,,,,,,,,,,,,
75,Infernowatch,Sand,Desert,Glossy Black,Desert Camo,Amber,Tan,Green,Blue,Single,,Plasma Orange,Single,Nylon Fabric Black Worn,,,,Single,Black Tip Kunai,,,Blind charge,Equipped,Equipped,,,,Dead eye,Equipped,97.0,65.0,64.0,95.0,60.0,72.0,100.0,94.0,94.0,87.0,66.0,75.0,94.0,78.0,80.0,85.0,0.0,0.0,73.0,,Plasma burn,,,,Single,Yellow,,,,Mortal faith,Circus knives,Starkware,Toughstuff,
